City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
339,port saint john's,-31.6229,29.5448,21.42,84,55,4.81,ZA,1710536548
340,naha,26.2125,127.6811,19.43,72,47,2.06,JP,1710536549
341,arlington,32.7357,-97.1081,19.52,70,0,5.66,US,1710536550
342,tura,25.5198,90.2201,20.84,32,0,1.49,IN,1710536552
343,saint-philippe,-21.3585,55.7679,24.77,80,47,4.48,RE,1710536554
344,ayr,55.4627,-4.6339,5.94,87,20,2.06,GB,1710536317
345,zvishavane,-20.3267,30.0665,18.97,93,100,2.45,ZW,1710536556
346,utrik,11.2278,169.8474,26.51,77,96,7.57,MH,1710536558
347,la ronge,55.1001,-105.2842,2.27,75,94,7.64,CA,1710536560
348,orlovskiy,46.8714,42.0592,4.31,73,88,3.58,RU,1710536561
349,kapa'a,22.0752,-159.319,23.39,54,81,2.24,US,1710536562
350,guanica,17.9716,-66.908,28.32,56,100,7.91,PR,1710536564
351,ust-nera,64.5667,143.2,-21.62,99,99,2.22,RU,1710536565
352,besikduzu,41.052,39.2284,9.94,94,100,1.68,TR,1710536566
353,betul,21.9153,77.8961,21.12,28,0,1.98,IN,1710536568
354,dame-marie,18.5667,-74.4167,26.56,73,62,1.6,HT,1710536569
355,santana,-0.0583,-51.1817,23.63,95,100,2.91,BR,1710536570
356,kachia,9.8667,7.95,31.5,31,99,1.27,NG,1710536572
357,camocim,-2.9022,-40.8411,26.29,89,100,6.46,BR,1710536574
358,nuku'alofa,-21.1333,-175.2,27.57,87,83,8.74,TO,1710536575
359,keflavik,64.0049,-22.5624,3.24,93,75,4.12,IS,1710536577
360,gadzhiyevo,69.2551,33.3362,-5.13,92,100,2.36,RU,1710536520
361,saurimo,-9.6608,20.3916,19.29,95,32,1.4,AO,1710536582
362,karratha,-20.7377,116.8463,29.1,74,6,5.24,AU,1710536504
